student_id,name,roll_number,phone_number,email,branch,cgpa,current_semester
1001,Arjun,R10000,9876524712,student1001@university.edu,EEE,8.68,4
1002,Riya,R10001,9876517617,student1002@university.edu,EEE,8.84,3
1003,Diya,R10002,9876548082,student1003@university.edu,ECE,9.04,2
1004,Kabir,R10003,9876546993,student1004@university.edu,ECE,7.53,2
1005,Aditya,R10004,9876584353,student1005@university.edu,CSE,8.29,7
1006,Arjun,R10005,9876521783,student1006@university.edu,CIVIL,8.68,5
1007,Isha,R10006,9876575834,student1007@university.edu,MECH,7.15,7
1008,Avni,R10007,9876594784,student1008@university.edu,ECE,7.41,8
1009,Krishna,R10008,9876551556,student1009@university.edu,ECE,9.07,8
1010,Priya,R10009,9876526755,student1010@university.edu,ECE,6.17,3
1011,Aarav,R10010,9876551170,student1011@university.edu,CIVIL,7.1,4
1012,Saanvi,R10011,9876541532,student1012@university.edu,EEE,7.49,6
1013,Rahul,R10012,9876562252,student1013@university.edu,ECE,7.06,3
1014,Meera,R10013,9876579734,student1014@university.edu,CSE,8.88,2
1015,Rohan,R10014,9876595292,student1015@university.edu,CSE,9.61,2
1016,Rohan,R10015,9876511656,student1016@university.edu,EEE,8.12,6
1017,Aarav,R10016,9876594862,student1017@university.edu,ECE,8.93,7
1018,Isha,R10017,9876571595,student1018@university.edu,ECE,7.71,8
1019,Vivaan,R10018,9876598602,student1019@university.edu,CSE,7.86,1
1020,Vihaan,R10019,9876537392,student1020@university.edu,EEE,6.06,2
1021,Vivaan,R10020,9876539842,student1021@university.edu,MECH,9.07,3
1022,Anaya,R10021,9876536954,student1022@university.edu,EEE,6.07,8
1023,Vihaan,R10022,9876598300,student1023@university.edu,CIVIL,9.11,7
1024,Aanya,R10023,9876519460,student1024@university.edu,ECE,8.18,2
1025,Aanya,R10024,9876512740,student1025@university.edu,EEE,7.85,6
1026,Arjun,R10025,9876515044,student1026@university.edu,ECE,8.41,6
1027,Vihaan,R10026,9876592325,student1027@university.edu,ECE,8.21,1
1028,Anaya,R10027,9876550818,student1028@university.edu,CIVIL,7.05,7
1029,Saanvi,R10028,9876549287,student1029@university.edu,CSE,7.26,5
1030,Kriti,R10029,9876510943,student1030@university.edu,MECH,9.56,1
1031,Krishna,R10030,9876528129,student1031@university.edu,CIVIL,9.54,6
1032,Krishna,R10031,9876556505,student1032@university.edu,CIVIL,8.39,3
1033,Avni,R10032,9876531485,student1033@university.edu,CSE,8.87,1
1034,Kabir,R10033,9876529250,student1034@university.edu,MECH,6.96,5
1035,Priya,R10034,9876581647,student1035@university.edu,CSE,7.2,2
1036,Sai,R10035,9876572143,student1036@university.edu,MECH,8.26,7
1037,Kabir,R10036,9876588829,student1037@university.edu,MECH,7.03,1
1038,Arjun,R10037,9876540883,student1038@university.edu,EEE,8.15,2
1039,Diya,R10038,9876561284,student1039@university.edu,EEE,7.88,5
1040,Avni,R10039,9876546811,student1040@university.edu,CIVIL,7.2,2
1041,Meera,R10040,9876576268,student1041@university.edu,CIVIL,7.14,5
1042,Riya,R10041,9876587172,student1042@university.edu,MECH,8.31,8
1043,Priya,R10042,9876599599,student1043@university.edu,MECH,8.42,8
1044,Diya,R10043,9876593645,student1044@university.edu,CIVIL,7.57,1
1045,Rahul,R10044,9876526041,student1045@university.edu,ECE,8.74,2
1046,Aanya,R10045,9876569543,student1046@university.edu,CSE,9.39,8
1047,Aarav,R10046,9876515264,student1047@university.edu,EEE,9.8,8
1048,Avni,R10047,9876512337,student1048@university.edu,CSE,8.9,7
1049,Aditya,R10048,9876543630,student1049@university.edu,CIVIL,6.25,8
1050,Priya,R10049,9876551581,student1050@university.edu,CIVIL,8.58,4
1051,Rahul,R10050,9876525062,student1051@university.edu,ECE,8.69,6
1052,Rohan,R10051,9876550270,student1052@university.edu,EEE,8.07,1
1053,Aanya,R10052,9876570356,student1053@university.edu,CSE,6.89,2
1054,Vivaan,R10053,9876526489,student1054@university.edu,MECH,6.41,5
1055,Riya,R10054,9876572656,student1055@university.edu,EEE,8.68,8
1056,Anaya,R10055,9876515933,student1056@university.edu,EEE,7.18,2
1057,Kabir,R10056,9876573328,student1057@university.edu,ECE,9.16,5
1058,Isha,R10057,9876519090,student1058@university.edu,ECE,9.03,6
1059,Krishna,R10058,9876530591,student1059@university.edu,MECH,8.57,8
1060,Riya,R10059,9876594674,student1060@university.edu,ECE,6.22,8
1061,Kriti,R10060,9876577696,student1061@university.edu,CSE,9.39,1
1062,Sai,R10061,9876521591,student1062@university.edu,ECE,9.12,6
1063,Aanya,R10062,9876569989,student1063@university.edu,MECH,9.18,3
1064,Aanya,R10063,9876545494,student1064@university.edu,CSE,7.14,8
1065,Aanya,R10064,9876573035,student1065@university.edu,EEE,9.2,8
1066,Aarav,R10065,9876577963,student1066@university.edu,CSE,6.84,5
1067,Diya,R10066,9876529862,student1067@university.edu,ECE,8.1,5
1068,Arjun,R10067,9876593104,student1068@university.edu,EEE,7.09,7
1069,Aditya,R10068,9876588184,student1069@university.edu,CIVIL,8.29,3
1070,Kabir,R10069,9876597568,student1070@university.edu,ECE,7.07,7
1071,Isha,R10070,9876535222,student1071@university.edu,EEE,9.24,3
1072,Diya,R10071,9876578745,student1072@university.edu,ECE,7.66,5
1073,Arjun,R10072,9876520724,student1073@university.edu,EEE,6.9,6
1074,Riya,R10073,9876514443,student1074@university.edu,EEE,9.03,7
1075,Priya,R10074,9876579673,student1075@university.edu,EEE,8.68,5
1076,Krishna,R10075,9876553965,student1076@university.edu,CIVIL,7.19,8
1077,Rohan,R10076,9876568777,student1077@university.edu,EEE,6.82,1
1078,Saanvi,R10077,9876552352,student1078@university.edu,CIVIL,6.06,6
1079,Rohan,R10078,9876564065,student1079@university.edu,CSE,7.54,7
1080,Krishna,R10079,9876543246,student1080@university.edu,CIVIL,6.98,5
1081,Vivaan,R10080,9876584057,student1081@university.edu,EEE,7.64,4
1082,Aanya,R10081,9876562939,student1082@university.edu,CSE,7.95,4
1083,Saanvi,R10082,9876512265,student1083@university.edu,EEE,6.7,7
1084,Aditya,R10083,9876539309,student1084@university.edu,EEE,8.33,1
1085,Isha,R10084,9876515781,student1085@university.edu,EEE,7.81,4
1086,Aditya,R10085,9876561941,student1086@university.edu,EEE,8.06,7
1087,Rahul,R10086,9876533336,student1087@university.edu,CIVIL,6.19,3
1088,Sai,R10087,9876595536,student1088@university.edu,CSE,6.78,7
1089,Riya,R10088,9876562172,student1089@university.edu,EEE,9.0,5
1090,Saanvi,R10089,9876550352,student1090@university.edu,EEE,6.91,4
1091,Kabir,R10090,9876555930,student1091@university.edu,MECH,9.59,4
1092,Saanvi,R10091,9876514781,student1092@university.edu,MECH,9.73,5
1093,Aarav,R10092,9876563591,student1093@university.edu,MECH,8.66,4
1094,Isha,R10093,9876531887,student1094@university.edu,CIVIL,7.97,6
1095,Arjun,R10094,9876548951,student1095@university.edu,MECH,6.15,5
1096,Meera,R10095,9876581326,student1096@university.edu,ECE,7.78,5
1097,Aarav,R10096,9876561823,student1097@university.edu,MECH,9.54,6
1098,Aditya,R10097,9876599614,student1098@university.edu,MECH,9.69,7
1099,Kriti,R10098,9876524455,student1099@university.edu,EEE,8.15,6
1100,Vivaan,R10099,9876570817,student1100@university.edu,ECE,6.56,1
1101,Anaya,R10100,9876575073,student1101@university.edu,ECE,9.27,4
1102,Riya,R10101,9876546172,student1102@university.edu,CSE,7.7,1
1103,Avni,R10102,9876581093,student1103@university.edu,MECH,7.11,4
1104,Rohan,R10103,9876511013,student1104@university.edu,ECE,8.64,6
1105,Diya,R10104,9876596966,student1105@university.edu,MECH,8.03,1
1106,Saanvi,R10105,9876510712,student1106@university.edu,CIVIL,8.29,2
1107,Aanya,R10106,9876597162,student1107@university.edu,CIVIL,9.3,4
1108,Aarav,R10107,9876557860,student1108@university.edu,CSE,8.31,4
1109,Aarav,R10108,9876523170,student1109@university.edu,CIVIL,9.74,5
1110,Rahul,R10109,9876568025,student1110@university.edu,EEE,7.33,1
1111,Riya,R10110,9876543376,student1111@university.edu,ECE,9.33,8
